Disease,Symptom1,Symptom2,Parameter1,Parameter2,Severity,Duration
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
Constipation,Inflammation,Stiffness,Kapha,Dry,Mild,Acute
Diarrhea,Weakness,Burning,Vata-Pitta,Moist,Moderate,Chronic
Eczema,Nausea,Swelling,Pitta-Kapha,Balanced,Severe,Intermittent
Diabetes,Fatigue,Headache,Vata,Hot,Mild,Acute
Hypertension,Pain,Dizziness,Pitta,Cold,Moderate,Chronic
Arthritis,Inflammation,Stiffness,Kapha,Dry,Severe,Intermittent
Asthma,Weakness,Burning,Vata-Pitta,Moist,Mild,Acute
Migraine,Nausea,Swelling,Pitta-Kapha,Balanced,Moderate,Chronic
Gastritis,Fatigue,Headache,Vata,Hot,Severe,Intermittent
Insomnia,Pain,Dizziness,Pitta,Cold,Mild,Acute
Anxiety,Inflammation,Stiffness,Kapha,Dry,Moderate,Chronic
Depression,Weakness,Burning,Vata-Pitta,Moist,Severe,Intermittent
Obesity,Nausea,Swelling,Pitta-Kapha,Balanced,Mild,Acute
Anemia,Fatigue,Headache,Vata,Hot,Moderate,Chronic
Bronchitis,Pain,Dizziness,Pitta,Cold,Severe,Intermittent
